@relation topic
@attribute feature_0 numeric
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute feature_17 numeric
@attribute feature_18 numeric
@attribute feature_19 numeric
@attribute 'class' {C20,C11,C22,C10,C21,C13,C02,C23,C01,C12,C04,C15,C14,C03,C06,C17,C16,C05,C08,C19,C07,C18,C09}

@data
0.030612244897959183,0.030612244897959183,0.07142857142857142,0.0782312925170068,0.023809523809523808,0.05102040816326531,0.08503401360544217,0.017006802721088437,0.05782312925170068,0.017006802721088437,0.03741496598639456,0.023809523809523808,0.04421768707482993,0.08503401360544217,0.12585034013605442,0.017006802721088437,0.017006802721088437,0.06462585034013606,0.09863945578231292,0.023809523809523808,C08
0.0701219512195122,0.021341463414634148,0.021341463414634148,0.11890243902439024,0.051829268292682924,0.027439024390243903,0.01524390243902439,0.021341463414634148,0.03353658536585366,0.021341463414634148,0.01524390243902439,0.01524390243902439,0.04573170731707317,0.2774390243902439,0.125,0.01524390243902439,0.01524390243902439,0.051829268292682924,0.01524390243902439,0.021341463414634148,C08
0.026627218934911243,0.12721893491124261,0.014792899408284023,0.038461538461538464,0.0621301775147929,0.05621301775147929,0.014792899408284023,0.1390532544378698,0.026627218934911243,0.014792899408284023,0.020710059171597635,0.020710059171597635,0.19822485207100593,0.020710059171597635,0.038461538461538464,0.014792899408284023,0.014792899408284023,0.09763313609467456,0.038461538461538464,0.014792899408284023,C08
0.11328125,0.01953125,0.01953125,0.01953125,0.08203125,0.03515625,0.02734375,0.02734375,0.26953125,0.02734375,0.06640625,0.02734375,0.01953125,0.03515625,0.05078125,0.01953125,0.05078125,0.04296875,0.01953125,0.02734375,C08
0.028,0.036,0.036,0.02,0.02,0.028,0.028,0.092,0.036,0.036,0.06,0.02,0.02,0.044,0.036,0.036,0.34,0.02,0.02,0.044,C08
0.055,0.025,0.085,0.025,0.035,0.045,0.025,0.035,0.105,0.085,0.035,0.035,0.075,0.095,0.045,0.025,0.025,0.075,0.025,0.045,C08
0.026923076923076925,0.03461538461538462,0.04230769230769231,0.03461538461538462,0.026923076923076925,0.1576923076923077,0.04230769230769231,0.026923076923076925,0.03461538461538462,0.019230769230769232,0.04230769230769231,0.04230769230769231,0.08076923076923077,0.23461538461538461,0.019230769230769232,0.026923076923076925,0.026923076923076925,0.026923076923076925,0.03461538461538462,0.019230769230769232,C08
0.09722222222222222,0.013888888888888888,0.019444444444444445,0.013888888888888888,0.18055555555555555,0.013888888888888888,0.05277777777777778,0.175,0.019444444444444445,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.03611111111111111,0.03611111111111111,0.04722222222222222,0.019444444444444445,0.013888888888888888,0.18611111111111112,0.013888888888888888,0.019444444444444445,C08
0.026785714285714284,0.020833333333333332,0.020833333333333332,0.044642857142857144,0.05654761904761905,0.044642857142857144,0.026785714285714284,0.10416666666666667,0.23511904761904762,0.05654761904761905,0.026785714285714284,0.05654761904761905,0.01488095238095238,0.08035714285714286,0.026785714285714284,0.026785714285714284,0.020833333333333332,0.03869047619047619,0.03869047619047619,0.03273809523809524,C08
0.038011695906432746,0.014619883040935672,0.02631578947368421,0.03216374269005848,0.06725146198830409,0.07309941520467836,0.03216374269005848,0.02046783625730994,0.23684210526315788,0.02631578947368421,0.014619883040935672,0.014619883040935672,0.03216374269005848,0.05555555555555555,0.06725146198830409,0.014619883040935672,0.02046783625730994,0.02631578947368421,0.09064327485380116,0.09649122807017543,C08
