Synset('steal.v.01')	stolen stole stealing
Synset('turn.v.07')	grow turned grown turn
Synset('lead.v.04')	leading leads led lead
Synset('channel.n.04')	channels channel
Synset('tend.v.01')	running tend tended lean leaning inclined run runs ran
Synset('physicist.n.01')	physicist physicists
Synset('island.n.02')	islands island
Synset('report.v.05')	cover reports covering covered reported report reporting
Synset('testify.v.02')	prove evidence testified proving testify
Synset('council.n.02')	council councils
Synset('vote.v.01')	voted votes vote
Synset('safety_valve.n.01')	escapes escape
Synset('spring.n.02')	spring springs
Synset('beg.v.03')	begs beg
Synset('rede.v.02')	advise advising
Synset('giant.n.06')	giants giant
Synset('reproduction.n.05')	breeding reproduction
Synset('circle.n.01')	circles circle
Synset('lend_oneself.v.01')	applying applies applied apply
Synset('suppress.v.04')	repressed suppress repress
Synset('stress.n.01')	stress emphasis
Synset('doubt.v.02')	doubts doubt
Synset('oven.n.01')	ovens oven
Synset('length.n.01')	lengths length
Synset('post.v.01')	post postings posting posts posted
Synset('stick.v.08')	sticks stuck stick sticking
Synset('surgeon.n.01')	surgeons surgeon
Synset('rate.n.02')	rate rates
Synset('february.n.01')	feb february
Synset('move.n.05')	move moves
Synset('legend.n.01')	legends legend
Synset('make.v.19')	making made makes
Synset('ruin.v.02')	ruins ruined
Synset('wagon.n.01')	wagon wagons
Synset('tan.n.01')	tan burn burns
Synset('germany.n.01')	germany frg
Synset('visualize.v.01')	projected image images figure project figured imaging figuring
Synset('giving.n.01')	gift giving gifts
Synset('tend.v.02')	tend tended
Synset('quality.n.02')	caliber quality
Synset('site.n.01')	site sites
Synset('planet.n.01')	planets planet
Synset('platform.n.03')	platform platforms
Synset('pump.n.01')	pumps pump
Synset('store.v.01')	stores stored store storing
Synset('stand.v.02')	stands stood stand standings
Synset('keystone.n.02')	keys key
Synset('undertake.v.03')	undertake undertaken guaranteed
Synset('search.n.01')	searches hunt search hunting
Synset('brother.n.02')	brothers brother
Synset('turn.v.06')	turned turning turn turns
Synset('drain.v.03')	draining drain
Synset('setting.n.02')	settings background scope scopes setting
Synset('ticket.v.01')	ticket fined fine
Synset('rede.v.01')	interpret interprets interpreted
Synset('patriotism.n.01')	nationalism patriotism
Synset('foundation.n.01')	foundations foundation
Synset('suffice.v.01')	answered answering serves served suffice dos serve serving
Synset('swarm.n.02')	cloud clouds
Synset('misconception.n.01')	misconceptions misconception
Synset('prosecute.v.01')	prosecute prosecuted
Synset('quality.n.03')	characters character qualities quality
Synset('switch.n.01')	switches switch
Synset('harm.v.01')	harm harmed
Synset('volt.n.01')	volts volt
Synset('miss.v.05')	missed missing
Synset('datum.n.01')	datum data
Synset('yield.n.03')	fruits fruit
Synset('trade_name.n.01')	brands brand
Synset('high.a.02')	high highest higher
Synset('license.n.02')	licence license licenses
Synset('grant.n.05')	grants grant
Synset('relief.n.02')	ease relief
Synset('possession.n.05')	possessions possession
Synset('setup.n.02')	setups setup
Synset('distribution.n.02')	distribution distributions
Synset('headlight.n.01')	headlights headlight
Synset('thwart.v.01')	queer frustrate thwarted frustrated queers frustrating
Synset('store.v.02')	stores stored store storing
Synset('medulla_oblongata.n.01')	bulbs bulb
Synset('steer.v.01')	pointed maneuvering heading direct steering directing steer guided guide point maneuver
Synset('workshop.n.01')	shop workshop workshops shops
Synset('setting.n.01')	settings scenes scene setting
Synset('trope.n.01')	image images figure figures
Synset('ruin.v.04')	ruins ruined
Synset('consumer.n.01')	consumers consumer
Synset('postulate.n.01')	posit postulates postulate
Synset('pulse.n.02')	pulse beat beats
Synset('sock.n.01')	sock socks
Synset('sidewalk.n.01')	sidewalk pavement
Synset('rout.v.03')	routing gouged
Synset('trace.n.01')	hints hint
Synset('solicitation.n.02')	collections collection
Synset('process.n.02')	operations operation
Synset('university.n.02')	universities university
Synset('kingdom.n.05')	kingdoms kingdom
Synset('allowance.n.03')	adjustments adjustment
Synset('play.v.26')	playing played
Synset('evening.n.03')	evenings evening
Synset('gather.v.08')	gathered gather gathering
Synset('league.n.01')	conference leagues league conferences
Synset('status.n.01')	positions position status
Synset('dimension.n.01')	dimension dimensions
Synset('write.v.02')	wrote writes
Synset('character.v.01')	characters character
Synset('work.v.01')	worked works work working workings
Synset('retention.n.01')	holding keeping
Synset('turn.v.08')	releasing released
Synset('sales_talk.n.01')	pitches pitch
Synset('hatch.v.03')	hatch hatching
Synset('injury.n.02')	injuries injury
Synset('island.n.01')	islands island
Synset('tie.n.08')	tie ties
Synset('drug.n.01')	drugs drug
Synset('undertake.v.01')	attempting undertake attempted attempt attempts
Synset('plosion.n.01')	explosion explosions
Synset('shield.n.02')	shield shields
Synset('rout.v.02')	routes routing
Synset('beg.v.04')	begs beg
Synset('initialize.v.01')	initialized initialize
Synset('transistor.n.01')	transistors transistor
Synset('win.v.01')	wins winning won win
Synset('regulation.n.06')	regulation regulations regulating
Synset('plotter.n.04')	plotters plotter
Synset('improvement.n.01')	advances improvement improvements advance
Synset('reflect.v.07')	reflect reflected reflecting reflects
Synset('system.n.02')	system systems
Synset('consider.v.09')	considers considered
Synset('torture.v.02')	torment tortured tormented
Synset('boat.v.01')	boats boat
Synset('quark.n.01')	quark quarks
Synset('wrinkle.n.01')	line seams crease lines
Synset('termination.n.05')	termination ending
Synset('university.n.01')	universities university
Synset('approve.v.02')	approved approve approving
Synset('explosive.n.01')	explosive explosives
Synset('dicker.v.01')	bargaining bargain
Synset('plane.v.03')	plane planes
Synset('lie.n.03')	lie lies
Synset('transformation.n.02')	transformations transformation
Synset('restore.v.01')	restore restored restoring
Synset('report.v.01')	reports accounted describing reported report describe accounts accounting reporting account describes
Synset('output.v.01')	output outputs
Synset('hand.n.06')	deal hands deals hand
Synset('amount.n.02')	amount amounts
Synset('steal.v.03')	stolen steal stole
Synset('brother.n.05')	brethren brothers brother
Synset('stop_consonant.n.01')	stop stops
Synset('succession.n.03')	sequence sequences
Synset('main.n.01')	mains main
Synset('perform.v.01')	performs performing perform executing execute performed
Synset('christian.n.01')	christians christian
