Synset('november.n.01')	november nov
Synset('turn.v.07')	grows grow turned turn turns
Synset('period.n.03')	period periods
Synset('channel.n.04')	channels channel
Synset('resent.v.01')	resented resent
Synset('tend.v.01')	tend tending tended
Synset('report.v.05')	reports covering covered report reported reporting
Synset('abstract.v.01')	abstract abstracted
Synset('computer_architecture.n.02')	architectures architecture
Synset('safety_valve.n.01')	escapes escape
Synset('circle.n.01')	circles circle
Synset('conjunction.n.05')	conjunction alignments conjunctions alignment
Synset('chain.n.04')	chain chains
Synset('lend_oneself.v.01')	applying applies apply applied
Synset('key.n.01')	keys key
Synset('rate.n.01')	rate rates
Synset('evolve.v.02')	evolve evolving evolves evolved
Synset('stress.n.01')	stress accents emphasis accent
Synset('length.n.01')	lengths length
Synset('scheduling.n.01')	scheduling programming
Synset('september.n.01')	september sept sep
Synset('telecommunication.n.02')	telecommunication telecommunications
Synset('magazine.n.01')	mag magazine
Synset('regulation.n.05')	regularisation regularization
Synset('rate.n.02')	rate rates
Synset('february.n.01')	feb february
Synset('play.v.15')	play plays
Synset('make.v.19')	made makes
Synset('oblige.v.02')	binds bind bound
Synset('continue.v.10')	continue continues continued
Synset('germany.n.01')	germany frg
Synset('fix.v.07')	fix fixed fixes
Synset('supplement.v.01')	supplemented supplement
Synset('effect.v.02')	effect effected
Synset('maximize.v.02')	maximize maximizing maximized maximizes maximising maximise
Synset('tend.v.02')	tend tended
Synset('site.n.01')	site sites
Synset('put.v.02')	puts put
Synset('platform.n.03')	platform platforms
Synset('consonant.n.01')	consonant consonants
Synset('originate.v.03')	originating originates originate originated
Synset('store.v.01')	stores stored store storing
Synset('stand.v.02')	stands stand
Synset('undertake.v.03')	undertaken guaranteeing guaranteed
Synset('spot.v.06')	spotting spot
Synset('angle.n.01')	angles angle
Synset('muscle.n.04')	muscles muscle
Synset('search.n.01')	searches search hunt
Synset('coupling.n.02')	coupling couplings
Synset('square.n.07')	square squares
Synset('teacher.n.02')	teacher teachers
Synset('parent.n.01')	parent parents
Synset('maximize.v.01')	maximize maximizing maximized maximizes maximising maximise
Synset('setting.n.02')	settings background scope setting
Synset('placement.n.01')	arrangement placement arrangements
Synset('conjunction.n.04')	conjunction conjunctions
Synset('luteinizing_hormone.n.01')	lhs lh
