Synset('border_on.v.01')	approached approaches approach
Synset('lead.v.04')	head led
Synset('period.n.03')	period periods
Synset('channel.n.04')	channels channel
Synset('fast.v.01')	fasted fast fasting
Synset('priority.n.02')	priorities priority
Synset('tend.v.01')	tend tended lean
Synset('report.v.05')	reports covering covered reported report reporting
Synset('testify.v.02')	proved shown evidence showed show proven evidenced
Synset('kindle.v.02')	kindled kindling
Synset('offer.v.06')	offer offers offered
Synset('element.n.05')	elements element
Synset('total_darkness.n.01')	black blacks
Synset('rede.v.02')	counseling advised counseled
Synset('clinician.n.01')	clinician clinicians
Synset('genesis.n.01')	generation generations
Synset('conjunction.n.05')	conjunction alignment
Synset('lend_oneself.v.01')	applying applied
Synset('steroid_hormone.n.01')	steroids steroid
Synset('rate.n.01')	rate rates
Synset('pe.n.01')	pe pes
Synset('evolve.v.02')	evolving evolved
Synset('stress.n.01')	stress stresses emphasis
Synset('scratch.n.10')	scars scar
Synset('length.n.01')	lengths length
Synset('september.n.01')	september sep
Synset('solution.n.05')	solution solutions
Synset('surgeon.n.01')	surgeons surgeon
Synset('balloon.n.01')	balloon balloons
Synset('rate.n.02')	rate rates
Synset('february.n.01')	feb february
Synset('scan.v.01')	scans scan
Synset('think.v.01')	considered conceived believed
Synset('trouble.n.04')	difficulty difficulties
Synset('make.v.19')	making made
Synset('oblige.v.02')	binds bind bound binding
Synset('progenitor.n.01')	progenitors progenitor
Synset('continue.v.10')	continue continues continued continuing
Synset('tan.n.01')	burn burns
Synset('visualize.v.01')	projected image images imaged figures imaging
Synset('effect.v.02')	effects effect
Synset('diet.n.02')	diet diets
Synset('tend.v.02')	tend tended
Synset('treatment.n.01')	treatment interventions intervention treatments
Synset('restraint.n.02')	controls restraints control restraint
Synset('quality.n.02')	caliber quality
Synset('site.n.01')	site sites
Synset('record.n.07')	records record
Synset('pump.n.01')	pumps pump
Synset('liver.n.01')	liver livers
Synset('originate.v.03')	originating originate originated
Synset('period.n.04')	period periods
Synset('undertake.v.03')	undertook undertaken
Synset('angle.n.01')	angles angle
Synset('illustrate.v.03')	illustrates illustrated illustrate
Synset('death.n.02')	death deaths
Synset('muscle.n.04')	muscles muscle
Synset('attack.v.01')	attacks attack
Synset('precipitate.v.03')	fell fall precipitated
Synset('analysis.n.01')	analyses analysis
Synset('invention.n.01')	design conception designs
Synset('parent.n.01')	parent parents
Synset('drain.v.03')	draining drain
Synset('setting.n.02')	settings background setting
Synset('remain.v.03')	remain remained remains remaining
Synset('specify.v.02')	limited define determining fixed defining defined
Synset('suffice.v.01')	serves served serving
Synset('surface.v.01')	rising surface surfaces rose rise
Synset('influence.n.03')	influences influence
Synset('touch.v.05')	contacted meet contact meeting met contacts
Synset('position.n.01')	positions place
Synset('indian.n.02')	indians indian
Synset('colony.n.03')	colony colonies
Synset('suggest.v.03')	suggests suggested suggest
Synset('supplement.v.02')	supplements supplemented supplement
Synset('shock.v.06')	shock shocks
Synset('treatment.n.02')	treatment handling treatments
Synset('label.v.05')	labeling labeled labelling labelled
Synset('pelvis.n.01')	hips pelvis hip
Synset('block.v.06')	blocked blocks blocking
Synset('screen.v.04')	screening screen screened
Synset('yield.n.03')	yields yield
Synset('high.a.02')	high highest higher
Synset('relief.n.02')	ease relief
Synset('distribution.n.02')	dispersion distribution
Synset('stipulate.v.01')	condition conditioning conditioned
Synset('rehearse.v.01')	practice practicing practices
Synset('plan.v.01')	planning planes planned plan
Synset('store.v.02')	stores stored
Synset('extremity.n.05')	extremities extremity
Synset('hand.n.08')	hands hand
Synset('control.v.01')	controlled control
Synset('medulla_oblongata.n.01')	medulla bulb
Synset('well_up.v.01')	swollen swelling
Synset('resident.n.01')	residents resident
Synset('steer.v.01')	head directed guiding direct guided guide point maneuver maneuvers
Synset('glycoprotein.n.01')	glycoprotein glycoproteins
Synset('strive.v.02')	reach reached
Synset('setting.n.01')	settings setting
Synset('play.v.12')	play plays playing played
Synset('trope.n.01')	image images
Synset('area.n.05')	area areas
Synset('specify.v.03')	delineate delineated define defining defined defines
Synset('session.n.01')	sessions session
Synset('pulse.n.02')	beat pulse pulses beats
Synset('exert.v.01')	exert exercise exerted
Synset('overture.n.03')	approaches approach
Synset('complex.n.03')	complex complexes
Synset('groove.n.01')	channels channel
Synset('call.v.28')	call called
Synset('treat.v.01')	treated treating
Synset('tinge.v.01')	colour color
Synset('process.n.02')	processes operations operation
Synset('overlap.v.02')	overlap overlapping
Synset('finding.n.02')	findings finding
Synset('summons.n.03')	process processes
Synset('marker.n.03')	marker markers
Synset('suture.n.01')	sutures suture
Synset('hybrid.n.03')	hybrid cross
Synset('venue.n.01')	loci locus
Synset('strong.a.01')	strong stronger strongest
Synset('call.v.02')	call called
Synset('status.n.01')	positions position status
Synset('blot.v.01')	blot blotting
Synset('dimension.n.01')	dimension dimensions
Synset('parallel.v.01')	parallel paralleled
Synset('work.v.01')	worked work working
Synset('plan.v.02')	planned plan
Synset('turn.v.08')	release released
Synset('service.n.11')	service services
Synset('decisiveness.n.01')	decision decisions
Synset('spend.v.01')	spent passed
Synset('injury.n.02')	injuries injury
Synset('twin.n.01')	twins twin
Synset('fire.v.02')	discharged discharge
Synset('extremity.n.04')	extremities extremity
Synset('drug.n.01')	drugs drug
Synset('undertake.v.01')	undertook undertaken attempted attempt attempts
Synset('spot.v.04')	blot blotting
Synset('witness.v.02')	witnessed found find findings finding
Synset('black.n.07')	black blacks
Synset('rout.v.02')	routes root
Synset('remove.v.02')	removed remove
Synset('represent.v.09')	represents represented interpreted represent
Synset('regulation.n.06')	regulation regulating
Synset('finding.n.03')	findings finding
Synset('improvement.n.01')	advances improvement improvements
Synset('reflect.v.07')	reflect reflected reflecting reflects
Synset('blast.n.04')	blasts blast
Synset('mousse.v.01')	gels gel
Synset('speculate.v.04')	speculated speculate
Synset('wrinkle.n.01')	line lines
Synset('arm.n.01')	arms arm
Synset('termination.n.05')	termination conclusion conclusions
Synset('substitution.n.02')	substitution substitutions exchange
Synset('origin.n.02')	descent extraction
Synset('monkey.n.01')	monkeys monkey
Synset('plane.v.03')	plane planes
Synset('restore.v.01')	reconstructed restore restored restoring
Synset('report.v.01')	reports accounted describing reported report accounts describe accounting reporting account describes
Synset('interferon.n.01')	interferons interferon
Synset('hand.n.06')	deal hand
Synset('amount.n.02')	amount amounts
Synset('paralysis.n.01')	palsy paralysis
Synset('replace.v.01')	replace replaced
Synset('enable.v.01')	enable enabled enables
Synset('liver.n.02')	liver livers
Synset('succession.n.03')	sequence sequences
Synset('stop_consonant.n.01')	stop occlusive
Synset('perform.v.01')	performing perform performed
Synset('aneurysm.n.01')	aneurysm aneurysms
Synset('typeset.v.01')	set setting
Synset('react.v.02')	opposed reacting react reacted
Synset('survey.n.01')	study studies
Synset('temperature.n.02')	temperatures temperature
Synset('indicator.n.04')	indicator indicators
Synset('month.n.02')	months month
Synset('injury.n.05')	injuries injury
Synset('mechanism.n.05')	mechanism mechanisms
Synset('study.v.06')	study studying studied studies
Synset('vasoconstrictor.n.01')	pressor vasoconstrictor
Synset('abortion.n.01')	abortion abortions
Synset('infiltrate.v.01')	infiltrate infiltrates
Synset('marker.n.01')	marker markers
Synset('rise.n.02')	ascending rise rises
Synset('neurotransmitter.n.01')	neurotransmitters neurotransmitter
Synset('neck.n.01')	cervix neck
Synset('surrogate.n.01')	alternate replacements replacement
Synset('emerge.v.04')	emerged emerging
Synset('intensify.v.02')	compounds compound
Synset('protein.n.01')	proteins protein
Synset('vasodilator.n.01')	vasodilator vasodilators
Synset('improvement.n.02')	improvement improvements
Synset('scale.n.06')	scales scale
Synset('predictor.n.03')	predictors predictor
Synset('year.n.03')	year years
Synset('sequence.v.01')	sequence sequences
Synset('assess.v.04')	assessed assesses assess assessing
Synset('leave.v.02')	left leave
Synset('large.a.01')	larger largest big
Synset('involve.v.06')	involved involves involve involving
Synset('requirement.n.01')	requirements requirement demand demands
Synset('react.v.03')	reacting react reacted
Synset('sheath.n.02')	sheath case
Synset('probe.n.01')	investigations investigation probes probe
Synset('assess.v.02')	assessed assess assessing
Synset('ringer.n.02')	clones clone ringer
Synset('stain.v.01')	stained stain
Synset('lode.n.01')	load loads
Synset('injury.n.04')	injuries injury
Synset('temperature.n.01')	temperatures temperature
Synset('personnel_casualty.n.01')	loss losses
Synset('save.v.02')	preserved save preserve preserving
Synset('set.n.01')	set sets
Synset('density.n.01')	density densities
Synset('demand.n.04')	demand demands
Synset('mediator.n.01')	mediators mediator
Synset('study.v.05')	study studying studied studies
Synset('parasite.n.01')	parasite parasites
Synset('scar.v.01')	marked scars scarring scar mark
Synset('antigen.n.01')	antigen antigens
Synset('participation.n.02')	participation involvement
Synset('turn_down.v.05')	lower lowered lowers
Synset('anesthesia.n.01')	anaesthesia anesthesia
Synset('delay.v.02')	delay delayed
Synset('suppress.v.01')	inhibiting inhibited inhibit inhibits suppressed suppress
Synset('movement.n.11')	movements movement
Synset('occupation.n.01')	line lines occupations job
Synset('master_of_ceremonies.n.01')	hosts host
Synset('phospholipid.n.01')	phospholipids phospholipid
Synset('prototype.n.01')	images prototype
Synset('death.n.06')	death deaths
Synset('department.n.02')	departments department
Synset('explosion.n.02')	bursts burst
Synset('release.v.09')	releasing release free released
Synset('meet.v.09')	meet meeting met
Synset('rest.v.08')	rest resting
Synset('agent.n.01')	agent agents
Synset('limb.n.01')	limb limbs
Synset('property.n.05')	property properties
Synset('death.n.03')	death deaths
Synset('worsen.v.01')	declining declined
Synset('encapsulate.v.02')	capsule encapsulated
Synset('shunt.n.02')	shunts bypass shunt bypasses
Synset('respiratory_tract.n.01')	airway airways
Synset('decision.n.03')	decision decisions
Synset('ratio.n.01')	ratios ratio
Synset('convert.v.11')	converted converting
Synset('give.v.01')	give gave giving
Synset('strain.v.03')	strain strains extended
Synset('sport.v.01')	features sports feature
Synset('rabbit.n.01')	rabbits rabbit
Synset('glomerulus.n.01')	glomeruli glomerulus
Synset('stature.n.02')	stature height
Synset('initiate.v.03')	initiate initiated initiating
Synset('roll_up.v.02')	accumulate collected collecting accumulated
Synset('scan.v.03')	scans scanned scan
Synset('prompt.v.02')	prompted inspired prompt
Synset('mixture.n.01')	mixture mixtures
Synset('benefit.n.01')	benefits benefit
Synset('leaflet.n.02')	leaflets leaflet
Synset('fracture.v.06')	fractured fractures fracture
Synset('sunburn.v.01')	burn burned
Synset('polymorphism.n.03')	polymorphism polymorphisms
Synset('concentration.n.03')	concentrations concentration
Synset('hospital.n.02')	hospitals hospital
Synset('lower_berth.n.01')	lower lowers
Synset('topic.n.02')	subject subjects matter issues
Synset('unwrap.v.02')	discovered reveal disclosed breaks revealing reveals revealed exposed
Synset('molar.n.01')	molars molar
Synset('breath.n.01')	breath breaths
Synset('extend.v.09')	expanded expand
Synset('show.n.01')	shows show
Synset('time_interval.n.01')	intervals interval
Synset('consequence.n.02')	consequence consequences
Synset('quantify.v.02')	quantifying measured quantify measuring quantified measures measure
Synset('member.n.01')	members member
Synset('belief.n.01')	belief beliefs
Synset('vesicle.n.01')	cysts cyst vesicles
Synset('shape.v.03')	form shape formed
Synset('lead.v.03')	leads leading led
Synset('chain.n.03')	chain chains
Synset('lp.n.01')	lp lps
Synset('overstate.v.01')	exaggerated amplified
Synset('cardiac_arrhythmia.n.01')	arrhythmias arrhythmia
Synset('surround.v.01')	surrounding border
Synset('attack.v.03')	attacks attack
Synset('assumption.n.07')	assumption assumptions
Synset('molecule.n.01')	molecules molecule
Synset('understudy.v.01')	alternating alternate
Synset('proportion.n.01')	proportion proportions
Synset('disorder.n.03')	disorders disorder
Synset('scan.v.05')	scans scanned scan
Synset('transfer.v.01')	transferred transfer
Synset('act.v.08')	act acts acting
Synset('muscleman.n.01')	muscles muscle
Synset('manage.v.02')	caring deal dealing managed handling managing manage care
Synset('intestine.n.01')	intestine gut bowel
Synset('study.v.03')	study studied considered studies
Synset('average.v.02')	average averaged
Synset('observation.n.01')	observation observations
Synset('volume.n.06')	intensity volume volumes intensities
Synset('smear.n.02')	smears smear
Synset('demand.n.02')	demand demands
Synset('develop.v.19')	developing develop developed develops
Synset('sequence.v.02')	sequence sequences sequenced sequencing
Synset('stultification.n.02')	constipation impairment impairments
Synset('restraint.n.01')	restraints restraint
Synset('record.v.01')	records recordings record recording entered
Synset('mutation.n.02')	mutation mutations
Synset('poor.a.04')	poorer poor
Synset('gene.n.01')	genes gene factor factors
Synset('system.n.06')	system systems
Synset('fast.v.02')	fasted fasting
Synset('control.v.06')	controlled controls control controlling
Synset('raise.v.15')	proved proven
Synset('risk.v.01')	risks risk
Synset('antibody.n.01')	antibody antibodies
Synset('find.v.05')	found find findings felt feel finding
Synset('pregnancy.n.01')	pregnancies pregnancy gestation
Synset('proportion.v.02')	proportion proportions
Synset('suicide.n.01')	suicides suicide
Synset('still.v.03')	ease relieving relieve relieved
Synset('pronounce.v.02')	pronounced labeling labeled labelled
Synset('culture.n.07')	culture cultures
Synset('man.n.03')	men man
Synset('rabbit.n.03')	rabbits rabbit
Synset('control.n.05')	controls control
Synset('shrink.v.03')	reduce reduced reduces
Synset('construct.v.03')	constructed construct
Synset('presentation.n.07')	presentation presentations
Synset('granulocyte.n.01')	granulocyte granulocytes
Synset('line.n.18')	line lines
Synset('equation.n.01')	equations equation
Synset('inhibit.v.02')	inhibited inhibit
Synset('design.v.07')	design designed
Synset('characterize.v.02')	characterized characterize
Synset('joint.v.03')	joint joints
Synset('bind.n.01')	binds bind
Synset('county.n.01')	county counties
Synset('study.v.02')	study studying studied studies
Synset('leg.n.01')	legs leg
Synset('resource.n.02')	resource resources
Synset('receive.v.02')	obtain receive receiving found findings received obtained obtaining
Synset('organ.n.02')	organ organs
Synset('confirm.v.04')	confirms confirmed
Synset('impute.v.01')	attributed assigned ascribed
Synset('typify.v.02')	represents represented represent
Synset('communication.n.01')	communicating communication
Synset('valve.n.01')	valves valve
Synset('microgram.n.01')	micrograms microgram
Synset('perspective.n.02')	perspectives perspective
Synset('reckon.v.06')	counts count
Synset('pitch.n.02')	delivery deliveries
Synset('usher.v.01')	shows shown showed show showing
Synset('learning.n.01')	learning acquisition
Synset('cyst.n.01')	cysts cyst
Synset('shape.n.01')	configuration contour
Synset('overlay.v.01')	covering covered
Synset('woman.n.02')	woman women
Synset('dislocation.n.02')	dislocation breakdown
Synset('match.v.07')	matched matching
Synset('significant.a.01')	important significant
Synset('set.n.05')	band bands
Synset('insufficient.a.01')	insufficient deficient
Synset('reserve.v.04')	reserved held reserve
Synset('bridge.v.03')	bridge bridging
Synset('stabilize.v.01')	stabilized stabilizing
Synset('wax.v.02')	rising rose
Synset('wave.n.08')	waves wave
Synset('mechanism.n.02')	mechanics mechanism
Synset('abnormality.n.01')	abnormalities abnormality
Synset('guidance.n.01')	counseling directions guidance direction
Synset('pile.n.03')	bundles bundle
Synset('fall.v.03')	fell falling falls fall
Synset('disfigurement.n.01')	deformity deformities
Synset('document.v.02')	documenting document
Synset('score.v.06')	score scores scored
Synset('leak.v.04')	leaks leak
Synset('opportunity.n.01')	chance opportunity opportunities
Synset('resemble.v.01')	resembled resembling
Synset('volunteer.v.03')	volunteer volunteers
Synset('submit.v.02')	stated states
Synset('free.v.06')	discharged discharges discharge
Synset('projection.n.06')	projections projection
Synset('shed_blood.v.02')	bleeding hemorrhage
Synset('respect.v.02')	respect observed
Synset('carcinoma.n.01')	carcinoma carcinomas
Synset('present.v.12')	presented present
Synset('organ.n.01')	organ organs
Synset('ion.n.01')	ion ions
Synset('nurse.v.03')	nurse nurses
Synset('remodel.v.01')	reconstructed remodeling
Synset('interest.v.01')	interest interesting
Synset('county.n.02')	county counties
Synset('stone.n.02')	stones stone
Synset('valve.n.02')	valves valve
Synset('legal_action.n.01')	action actions
Synset('rat.n.01')	rat rats
Synset('strategy.n.02')	strategies strategy
Synset('deaden.v.06')	blunted blunt
Synset('time_period.n.01')	period periods
Synset('genotype.n.02')	genotypes genotype
Synset('shape.n.02')	form shape forms
Synset('ring.v.06')	rings ring banding band bands
Synset('woman.n.01')	woman women
Synset('number.n.01')	number figures numbers
Synset('sign.n.06')	signs sign
Synset('survival.n.01')	survival endurance
Synset('luck.n.02')	hazards chance hazard
Synset('patch.v.02')	patch patches
Synset('size.n.01')	sizes size
Synset('represent.v.12')	represents represent
Synset('attachment.n.05')	adhesions adherence adhesion
Synset('jam.v.04')	blocked blocking
Synset('receptor.n.01')	receptor receptors
Synset('difference.n.01')	differences difference
Synset('phase.n.02')	phase form forms phases
Synset('nucleus.n.04')	nuclei nucleus
Synset('movement.n.03')	motion movements movement
Synset('disorder.v.02')	disorders disorder
Synset('give.v.18')	give committed
Synset('provide.v.07')	providing provide provided
Synset('syndicate.n.01')	families family
Synset('convert.v.02')	converted converting
Synset('stop.v.05')	stopped stop
Synset('yield.v.10')	born yield paid yielded
Synset('option.n.02')	options alternative alternatives choices choice option
Synset('time.v.04')	times timed
Synset('run.v.06')	courses fed feeding
Synset('formula.n.04')	formulas formula
Synset('train.v.08')	trained training
Synset('switch_over.v.01')	exchange switch
Synset('contrast.v.01')	contrast contrasted
Synset('document.v.01')	documenting documented document
Synset('equation.n.03')	equations equation
Synset('definition.n.01')	definition definitions
Synset('rest.v.01')	rest resting
Synset('complaint.n.02')	complaint complaints
Synset('pigment.v.02')	pigment pigmented
Synset('receive.v.13')	receive receiving received
Synset('memorize.v.01')	learned learning
Synset('wish.v.02')	caring care
Synset('grade.v.04')	grading grade graded grades
Synset('skill.n.01')	skills attainment acquisition
Synset('comparison.n.01')	comparison comparisons comparing
Synset('visit.n.01')	visits visit
Synset('materialization.n.02')	manifestations manifestation
Synset('expectation.n.03')	expectation expectations
Synset('leg.n.03')	legs leg
Synset('carrier.n.10')	carrier carriers
Synset('trial.n.04')	trials trial
Synset('nurse.n.01')	nurse nurses
Synset('populate.v.01')	living lived live
Synset('volunteer.n.01')	voluntary volunteers
Synset('dominance.n.02')	controls control
Synset('press_out.v.03')	extract expressing extracts express expresses expressed extracted
Synset('continue.v.07')	continue continued
Synset('wave.n.06')	waves wave
Synset('womanhood.n.02')	woman women
Synset('find.v.15')	found findings finding
Synset('culture.n.04')	culture cultures
Synset('european_union.n.01')	eus europe ec
Synset('parturition.n.01')	birth births
Synset('male.n.01')	males male
Synset('senesce.v.01')	mature aged ages aging age
Synset('tool.n.01')	tools tool
Synset('disturbance.n.05')	disturbance disturbances
Synset('train.v.09')	trained training
Synset('corticosteroid.n.01')	corticosteroids corticosteroid
Synset('complaint.n.03')	complaint complaints
Synset('burn.v.15')	burn burns
Synset('score.v.04')	score scoring scores scored
Synset('design.v.06')	designs designed
Synset('ester.n.01')	esters ester
Synset('roast.n.01')	joint joints
Synset('obstruct.v.03')	blocked blocks blocking block obstructed
Synset('residential_district.n.01')	community communities
Synset('reach.v.04')	contacted reach reached contact reaching contacts
Synset('index.n.04')	indices indexes index
Synset('operate.v.03')	controlled controls control operated operating controlling
Synset('semblance.n.01')	colour color
Synset('satisfy.v.01')	satisfied fulfilled
Synset('supply.v.01')	providing provide supplied provided supply
Synset('chamber.n.02')	chamber chambers
Synset('immunoglobulin.n.01')	immunoglobulin immunoglobulins ig
Synset('unit.n.05')	unit units
Synset('death.n.08')	death deaths
Synset('mimic.v.01')	mimic mimicked
Synset('significance.n.02')	significance implications
Synset('produce.v.02')	created creating create
Synset('specialize.v.01')	specialized narrow narrowing
Synset('transfer.v.06')	change changing changed
Synset('epinephrine.n.01')	adrenaline epinephrine
Synset('tube.v.04')	tube tubes
Synset('fail.v.08')	fail failing failed fails
Synset('recognize.v.09')	recognized recognizing recognizes recognize
Synset('factor.v.02')	factor factors
Synset('body.n.02')	bodies body
Synset('method.n.01')	method methods
Synset('call.v.22')	call called
Synset('detail.v.02')	detailed details detail
Synset('question.v.01')	question questions
Synset('splice.v.01')	splice splicing
Synset('group.v.02')	grouped groups group
Synset('wound.n.02')	wound wounds injuries injury
Synset('variation.n.08')	variations variation
Synset('profit.v.01')	benefits gained benefit
Synset('impairment.n.04')	impairment impairments
Synset('scale.v.08')	scales scale
Synset('correlate.v.02')	correlate correlating correlates correlated
Synset('institution.n.01')	institutions establishment
Synset('subject.n.06')	cases subject subjects case
Synset('schedule.v.02')	schedule scheduled schedules
Synset('pouch.n.03')	pouch pocket
Synset('impression.n.02')	effects effect
Synset('intervention.n.02')	interventions interference intervention
Synset('restraint.n.06')	restraints restraint
Synset('practitioner.n.01')	practitioners practitioner
Synset('playing_period.n.01')	play plays
Synset('institution.n.02')	institutions institution
Synset('donor.n.02')	donor donors
Synset('step.n.03')	step steps
Synset('visit.v.04')	visits visit
Synset('phenomenon.n.01')	phenomenon phenomena
Synset('pump.v.07')	pumps pump pumping
Synset('ring.v.03')	rings ring
Synset('identify.v.06')	identifies identified identify
Synset('share.n.01')	percentage portion part parts percentages share portions
Synset('pool.n.09')	pool pools
Synset('tube.v.01')	tube tubes
Synset('electrocardiogram.n.01')	electrocardiogram ecgs ecg
Synset('inclusion_body.n.01')	inclusion inclusions
Synset('stone.n.05')	stones stone
Synset('lend.v.01')	contributing contributes contributed
Synset('estimate.n.04')	estimate estimates
Synset('move.v.02')	displaced moving
Synset('train.v.01')	prepared developing training develop developed develops
Synset('treat.v.03')	treated treat treating
Synset('successor.n.01')	replacements replacement
Synset('contentedness.n.01')	contents content
Synset('focus.v.02')	focused focus focuses
Synset('elevation.n.05')	elevation elevations
Synset('score.v.02')	marked score scoring scores scored mark
Synset('focus.v.04')	focus focusing
Synset('convert.v.05')	converted converting
Synset('detail.v.01')	detailed details detail
Synset('narrow.v.01')	contracted narrow
Synset('sign.n.01')	signs mark
Synset('group.v.01')	grouped groups group
Synset('culture.n.02')	culture cultures
Synset('avoid.v.01')	avoided avoid avoiding
Synset('monocyte.n.01')	monocytes monocyte
Synset('correlation_coefficient.n.01')	correlation correlations
Synset('speculate.v.02')	speculated speculate
Synset('address.v.10')	address addressed
Synset('option.n.01')	options option
Synset('sustain.v.04')	keeping maintain sustained maintained sustain maintaining
Synset('dissemination.n.02')	diffusion dissemination
Synset('practice.n.04')	practice practices
Synset('tag.v.01')	marked labeling labeled labelling tag
Synset('tarnish.v.01')	stains stained staining stain
Synset('relation_back.n.01')	relations relation
Synset('correlate.v.01')	correlate correlating correlates correlated
Synset('survey.v.05')	surveys survey surveyed
Synset('mistake.n.01')	error errors
Synset('rescue.v.01')	delivered rescue
Synset('stay.v.06')	delay delays
Synset('branch.n.02')	branches branch
Synset('shock.n.07')	shock shocks
Synset('cough.v.01')	coughing coughs cough
Synset('overt.a.01')	overt open
Synset('type.n.06')	types type
Synset('issue.n.01')	issue issues
Synset('label.v.01')	labeling labelling
Synset('begin.v.10')	beginning began begun begin
Synset('design.v.03')	design designed
Synset('view.n.03')	surveys survey views
Synset('convert.v.06')	converted converting
Synset('stone.n.06')	stones stone
Synset('assay.n.04')	assay assays
Synset('compound.v.05')	compounds combined compound
Synset('clarify.v.02')	clarify clarified
Synset('promise.v.02')	promise promising
Synset('train.v.02')	prepared training
Synset('musical_instrument.n.01')	instruments instrument
Synset('submit.v.01')	subjected submitted subject subjects
Synset('stove.n.01')	ranges range
Synset('extradite.v.01')	delivering deliver delivered
Synset('zone.v.01')	zone district districts zones
Synset('reproduce.v.02')	reproduced multiply
Synset('internalization.n.01')	incorporation internalization
Synset('spouse.n.01')	spouses partner partners
Synset('culture.n.01')	culture cultures
Synset('phosphorus.n.01')	ps phosphorus
Synset('body.n.04')	bodies body
Synset('plaque.n.01')	plaque plaques
Synset('restriction.n.01')	limitation restriction limitations
Synset('vary.v.04')	varying vary varies varied
Synset('gust.n.01')	blasts blast
Synset('reach.v.07')	made reach reached
Synset('electrode.n.01')	electrode electrodes
Synset('unit.n.02')	unit units
Synset('probe.v.02')	probes probe
Synset('index.n.01')	indices indexes index
Synset('visit.v.07')	visits visit
Synset('pawl.n.01')	dogs dog
Synset('influence.n.04')	influences influence
Synset('technology.n.01')	technologies technology engineering
Synset('sting.v.02')	prick bite
Synset('vertebra.n.01')	vertebra vertebrae
Synset('son.n.01')	boys boy
Synset('flap.v.06')	flaps flap
Synset('speciate.v.01')	specialized differentiate differentiated differentiating
Synset('structure.v.01')	structures structure
Synset('quantity.n.03')	quantity quantities
Synset('wire.n.01')	wires wire
Synset('formulation.n.03')	expression formulation
Synset('drop_curtain.n.01')	drop drops
Synset('compromise.v.02')	compromised compromising
Synset('represent.v.04')	represents representing represented represent
Synset('scan.n.02')	scans scan
Synset('survive.v.01')	survive lives surviving lived survived lasting lasted live
Synset('simulate.v.03')	sham assuming simulated assumed
Synset('fertilize.v.01')	fed feeding
Synset('size.n.02')	sizes size
Synset('generation.n.02')	generation generations
Synset('label.v.04')	labeling labeled
Synset('target.v.01')	directed targeting aim targeted aimed targets placing
Synset('transportation.n.02')	transfer transport
Synset('sex.v.02')	sexes sex
Synset('undertaking.n.01')	task project tasks labor
Synset('substance.n.01')	substances substance
Synset('challenge.n.02')	challenges challenge
Synset('young.a.01')	young younger youngest immature
Synset('vary.v.03')	varying vary varies varied
Synset('wound.n.01')	wound wounds lesions lesion
Synset('carry.v.05')	carried carries carry carrying
Synset('twilight.n.01')	falls fall
Synset('type.n.03')	types type
Synset('support.v.02')	support supported
Synset('lotion.n.02')	application applications
Synset('inhibit.v.03')	inhibiting inhibited inhibit inhibits
Synset('production_line.n.01')	line lines
Synset('have.v.02')	features feature
Synset('phenotype.n.01')	phenotype phenotypes
Synset('scale.n.10')	scales scale
Synset('player.n.01')	players participants
Synset('formula.n.01')	expression formulas formula
Synset('presentation.n.06')	presentation introduction
Synset('steering.n.02')	directions guidance direction
Synset('rearrangement.n.01')	rearrangements rearrangement
Synset('diagnosis.n.01')	diagnosing diagnosis diagnoses
Synset('curdling.n.01')	clotting coagulation
