{striving,reach}
{express,expresses}
{substituted,exchanging}
{occupation,businesses}
{expect,anticipate}
{fund,funded}
{helps,serve}
{jumps,jump}
{focus,focusing}
{reflected,reflects}
{variations,version}
{versions,variants}
{added,adding}
{misled,misguided}
{hiring,engage}
{listed,list}
{misplaced,losing}
{abuses,misuse}
{discovered,disclose}
{work,workings}
{homo,homosexual}
{sky,skies}
{traders,dealers}
{feed,tipped}
{misuse,abused}
{outlets,outlet}
{training,trains}
{intents,intentions}
{eclipse,dominate}
{professionals,professional}
{remaining,stay}
{endorses,endorsed}
{remain,stay}
{floating,blow}
{generating,generate}
{cares,managed}
{cared,manages}
{promote,boost}
{share,sharing}
{author,writers}
{advise,advising}
{attributes,dimension}
{cared,wished}
{cares,manages}
{competitor,competition}
{options,choice}
{fees,tipped}
{bite,sting}
{plane,planes}
{found,witnessing}
{undergrad,undergraduate}
{reached,contact}
{declare,declaring}
{accessing,access}
{real,substantial}
{applies,applied}
{cared,managed}
{subject,case}
{populated,lived}
{suspend,suspended}
{crack,checked}
{restricting,restrict}
{flipped,flipping}
{flowers,bloom}
{meet,contact}
{admit,acknowledged}
{recognize,realize}
{transfers,transport}
{philosophies,philosophy}
{defeats,frustration}
{bind,obligated}
{setups,setup}
{filling,picks}
{dedicated,committing}
{steer,guide}
{bug,bugging}
{hunt,hunting}
{record,entered}
{commit,commits}
{charges,missions}
{spied,sighted}
{feels,find}
{held,restrain}
{admit,acknowledges}
{stripping,strip}
{inquiries,inquiry}
{translating,translated}
{equivalent,equivalents}
{inform,informs}
{instructed,taught}
{deposit,deposits}
{performing,perform}
{parent,parents}
{bothering,bother}
{translating,translates}
{resistors,resistor}
{joking,joke}
{regulated,ordering}
{stationed,station}
{entering,enter}
{rings,ring}
{nurse,nursing}
{reveal,expose}
{invoke,appealing}
{reserve,hold}
{erase,deleting}
{led,passing}
{adding,adds}
{express,expressed}
{gained,benefit}
{spell,piece}
{paste,spread}
{bowel,intestines}
{surrounding,rang}
{place,seats}
{enduring,lasting}
{lines,businesses}
{running,execute}
{leads,run}
{gaines,benefit}
{locating,locate}
{diagnose,diagnosed}
{advances,advance}
{holding,reserve}
{world,humanity}
{advanced,advance}
{meets,meeting}
{launching,launches}
{nation,nations}
{aims,design}
{sayings,expression}
{warn,warning}
{advancing,promotes}
{eggs,egg}
{apr,april}
{observer,commentator}
{relied,relying}
{invest,clothes}
{attorney,attorneys}
{promote,advancing}
{explanations,explanation}
{broke,revealed}
{checking,cracks}
{powering,powered}
{dangers,danger}
{encouraging,advance}
{outlaw,outlawed}
{stands,standings}
{exceeds,exceeded}
{mankind,humans}
{trickle,filtering}
{ion,ions}
{reach,attained}
{lined,drawn}
{riders,rider}
{upgrading,upgrade}
{bar,streak}
{ships,ship}
{charter,lease}
{rested,stay}
{hack,cut}
{led,lead}
{releasing,release}
{charge,charging}
{idol,idols}
{discourage,discouraged}
{missile,projectile}
{bags,bag}
{tastes,taste}
{interprets,rendering}
{doorbell,bell}
{direct,steering}
{relieve,alleviate}
{discovered,exposed}
{managed,handling}
{manufacturing,constructs}
{surrounding,borders}
{lines,drawn}
{triples,triple}
{answer,answers}
{discovered,exposes}
{brands,mark}
{manages,handling}
{blew,floating}
{resembles,resemble}
{swap,traded}
{scenes,scene}
{settings,setting}
{explosive,explosives}
{discharged,empty}
{concerns,concern}
{book,script}
{dropped,sunk}
{cared,wishes}
